size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,author_followers,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
13434,158865,40127,164,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,21680,14,FALSE,FALSE,TRUE,FALSE,FALSE,5,407959,467983,467982,1,1,0,0,0,0
259457,153546,25380,11577,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,8961,19,FALSE,FALSE,FALSE,FALSE,TRUE,14,396021,467983,467983,1,0,0,0,0,1
4441554,152009,48078,312,FALSE,FALSE,FALSE,TRUE,FALSE,User,183344,0,FALSE,FALSE,FALSE,FALSE,TRUE,4,365324,467983,467971,0,0,0,0,1,0
2356,148144,84200,407,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,23357,2,FALSE,FALSE,FALSE,FALSE,TRUE,6,358123,467983,467959,0,0,0,0,0,1
868084,146404,25728,7040,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,37919,6,FALSE,TRUE,FALSE,FALSE,FALSE,3,400362,467983,467983,1,1,0,0,0,0
1204,139412,17987,16,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,4463,4,FALSE,FALSE,FALSE,FALSE,TRUE,10,388654,467983,467568,0,1,0,0,0,0
2673,136279,13587,222,FALSE,FALSE,TRUE,TRUE,FALSE,User,3458,6,FALSE,FALSE,FALSE,FALSE,TRUE,7,397813,467983,467978,0,0,1,0,0,0
310266,136068,49116,683,TRUE,FALSE,TRUE,TRUE,FALSE,User,14016,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,422199,467983,467305,0,0,1,0,0,0
3663,134359,25601,160,TRUE,TRUE,TRUE,FALSE,FALSE,Organization,2539,14,TRUE,FALSE,FALSE,FALSE,FALSE,3,375502,467983,467959,0,1,0,0,0,0
160725,133877,44054,66,TRUE,FALSE,TRUE,TRUE,TRUE,User,9547,10,FALSE,FALSE,FALSE,FALSE,TRUE,6,423803,467983,467976,1,0,0,1,0,0
7412,133484,27412,776,TRUE,TRUE,TRUE,TRUE,TRUE,Organization,2256,6,FALSE,FALSE,TRUE,FALSE,FALSE,9,466376,467983,467982,1,1,0,0,0,0
15331,132418,7613,99,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,543,7,FALSE,FALSE,FALSE,FALSE,TRUE,18,398088,467983,467983,1,0,0,0,1,0
64866,120471,9001,4735,FALSE,TRUE,TRUE,TRUE,FALSE,Organization,361,0,FALSE,FALSE,TRUE,FALSE,FALSE,11,357925,467983,467936,1,0,0,0,0,1
124715,116125,22338,324,TRUE,FALSE,TRUE,TRUE,TRUE,User,5686,8,FALSE,FALSE,FALSE,FALSE,TRUE,13,439472,467983,467927,1,0,1,0,0,0
592990,111674,11497,0,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,1909,15,TRUE,FALSE,FALSE,FALSE,FALSE,8,419992,467983,467963,1,0,0,0,0,1
349759,111472,16561,8319,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,4252,4,FALSE,FALSE,FALSE,FALSE,TRUE,4,391226,467983,467978,1,0,0,0,0,1
851308,109667,23275,1977,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,13865,8,FALSE,FALSE,FALSE,FALSE,TRUE,8,394673,467983,467983,1,1,0,0,0,0
138416,107465,14675,894,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,1835,9,FALSE,FALSE,FALSE,FALSE,TRUE,10,379367,467980,467983,1,1,0,0,0,0
1838660,106461,23928,1984,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,7925,14,TRUE,FALSE,FALSE,FALSE,FALSE,3,409917,467983,467983,1,1,0,0,0,0
42671,105386,23311,7,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,728,5,TRUE,FALSE,FALSE,FALSE,FALSE,10,357111,467983,467902,1,0,0,0,0,1
438,102799,14449,38,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,1213,8,FALSE,FALSE,FALSE,FALSE,TRUE,5,414435,467983,467772,0,1,0,0,0,0
1236,102519,27530,28,FALSE,FALSE,FALSE,FALSE,FALSE,User,16317,14,FALSE,FALSE,FALSE,FALSE,TRUE,2,384312,467982,467065,1,0,0,0,0,1
10151,101827,10967,145,FALSE,FALSE,TRUE,FALSE,TRUE,User,4702,6,FALSE,FALSE,FALSE,FALSE,TRUE,10,390179,467983,467947,1,1,0,0,0,0
144265,101078,20596,699,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,15097,20,FALSE,FALSE,TRUE,FALSE,FALSE,10,428004,467983,467983,1,0,0,1,0,0
12315,100229,10324,441,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,1437,5,TRUE,FALSE,FALSE,FALSE,FALSE,9,391220,467978,467914,1,1,0,0,0,0
23405,99833,26367,2011,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,13866,3,TRUE,FALSE,FALSE,FALSE,FALSE,10,407988,467983,467934,1,1,0,0,0,0
1194201,98519,36170,2474,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,4988,4,FALSE,FALSE,FALSE,FALSE,TRUE,5,389468,467983,467983,1,0,0,1,0,0
3479,98079,7283,44,FALSE,FALSE,FALSE,FALSE,FALSE,User,3405,19,FALSE,FALSE,FALSE,FALSE,TRUE,14,424928,467983,467873,0,1,0,0,0,0
1002155,95490,25926,1707,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,6926,9,TRUE,FALSE,FALSE,FALSE,FALSE,4,393618,467982,467983,1,0,0,0,1,0
1281470,91945,34698,501,TRUE,TRUE,TRUE,FALSE,FALSE,User,21322,12,TRUE,FALSE,FALSE,FALSE,FALSE,3,352601,467983,467983,1,1,0,0,0,0
2106801,91370,11772,6312,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,37922,4,FALSE,TRUE,FALSE,FALSE,FALSE,12,389725,467983,467980,1,0,0,1,0,0
32024,90794,11844,17,TRUE,FALSE,TRUE,FALSE,TRUE,User,8631,10,FALSE,TRUE,FALSE,FALSE,FALSE,10,407691,467983,467855,1,1,0,0,0,0
323859,90736,5275,4851,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,37922,8,FALSE,FALSE,FALSE,FALSE,TRUE,6,432423,467983,467971,0,1,0,0,0,0
101948,89458,4864,1353,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,2881,4,FALSE,FALSE,FALSE,TRUE,FALSE,7,423983,467983,467973,1,1,0,0,0,0
70080,89308,9233,45,FALSE,FALSE,TRUE,TRUE,FALSE,User,3935,18,FALSE,FALSE,FALSE,FALSE,TRUE,8,418182,467981,467744,1,0,0,0,0,1
133488,88816,7780,1481,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,37922,10,FALSE,FALSE,FALSE,FALSE,TRUE,15,417352,467982,467925,0,1,0,0,0,0
460502,88253,23614,1437,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,3523,7,FALSE,TRUE,FALSE,FALSE,FALSE,5,391958,467982,467983,1,1,0,0,0,0
380954,86798,29827,1477,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,2060,7,FALSE,TRUE,FALSE,FALSE,FALSE,17,391217,467983,467983,1,1,0,0,0,0
155534,85964,39637,970,TRUE,TRUE,TRUE,TRUE,TRUE,Organization,1255,7,FALSE,TRUE,FALSE,FALSE,FALSE,9,397189,467983,467983,1,1,0,0,0,0
5525,83814,8606,1374,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,681,8,FALSE,FALSE,FALSE,FALSE,TRUE,6,419801,467983,467871,0,0,0,1,0,0
477240,83292,8946,276,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,955,8,FALSE,TRUE,FALSE,FALSE,FALSE,4,415100,467983,467982,1,0,0,1,0,0
15436,82392,29747,1293,TRUE,TRUE,TRUE,TRUE,TRUE,User,12190,19,FALSE,FALSE,FALSE,FALSE,TRUE,6,414553,467983,467737,0,1,0,0,0,0
520,82251,11150,84,TRUE,FALSE,TRUE,TRUE,FALSE,User,3732,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,411141,467983,467725,0,1,0,0,0,0
30762,82045,25100,201,TRUE,FALSE,TRUE,FALSE,FALSE,User,3983,8,FALSE,FALSE,FALSE,FALSE,TRUE,5,390998,467983,467913,1,0,0,0,1,0
923518,81729,10799,9578,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,5897,4,FALSE,FALSE,FALSE,TRUE,FALSE,8,354642,467982,467983,1,0,0,0,1,0
673299,78704,8463,2185,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,2075,19,FALSE,TRUE,FALSE,FALSE,FALSE,20,405075,467983,467981,1,1,0,0,0,0
1778,77831,16473,51,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,221,4,FALSE,FALSE,FALSE,FALSE,TRUE,15,366224,467980,466702,1,0,0,0,1,0
4031,77492,3356,287,TRUE,FALSE,TRUE,TRUE,FALSE,User,1831,2,FALSE,FALSE,TRUE,FALSE,FALSE,8,396805,467983,467554,0,1,0,0,0,0
30551,76923,14888,1924,TRUE,FALSE,TRUE,TRUE,TRUE,User,6464,16,FALSE,FALSE,TRUE,FALSE,FALSE,4,461436,467983,467981,0,0,0,0,0,1
624,75917,9672,269,FALSE,TRUE,FALSE,FALSE,FALSE,User,7507,5,FALSE,FALSE,FALSE,FALSE,TRUE,10,463956,467983,467961,1,0,0,0,0,1
612992,75823,46258,1198,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,8499,0,FALSE,FALSE,FALSE,FALSE,TRUE,6,404064,467981,467927,0,0,0,0,1,0
34199,74454,6909,58,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,738,0,FALSE,TRUE,FALSE,FALSE,FALSE,20,404587,467981,467919,1,1,0,0,0,0
10632,73488,23731,31,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,3869,3,FALSE,FALSE,FALSE,FALSE,TRUE,30,363193,467982,467928,1,0,1,0,0,0
509807,73143,13917,18,TRUE,FALSE,TRUE,TRUE,FALSE,User,8354,5,FALSE,FALSE,FALSE,FALSE,TRUE,11,428911,467981,466488,0,0,1,0,0,0
230560,72780,5298,4,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,948,7,FALSE,FALSE,FALSE,FALSE,TRUE,10,385309,467983,467801,1,0,1,0,0,0
110561,71453,12425,5369,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,793,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,369301,467983,467480,1,0,0,0,1,0
238247,70841,29243,149,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,4377,9,FALSE,FALSE,TRUE,FALSE,FALSE,7,370992,467983,467983,1,0,0,0,0,1
301,70775,6767,45,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,353,5,FALSE,FALSE,FALSE,FALSE,TRUE,12,417659,467982,467061,0,0,0,0,0,1
88608,70148,2984,364,TRUE,FALSE,TRUE,TRUE,TRUE,User,4262,3,FALSE,FALSE,FALSE,FALSE,TRUE,6,393258,467983,467844,0,0,0,0,0,1
33645,70094,18314,2,FALSE,TRUE,TRUE,FALSE,TRUE,Organization,2404,20,FALSE,FALSE,FALSE,FALSE,TRUE,14,427449,467983,467698,1,0,0,0,0,1
6765,70042,7617,14,FALSE,TRUE,FALSE,FALSE,FALSE,User,2566,2,FALSE,FALSE,FALSE,FALSE,TRUE,18,396308,467982,467919,1,0,1,0,0,0
87472,69850,10943,76,TRUE,TRUE,TRUE,FALSE,TRUE,Organization,37937,7,TRUE,FALSE,FALSE,FALSE,FALSE,10,445825,467983,467883,1,1,0,0,0,0
233222,69622,34255,633,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,2472,5,FALSE,FALSE,FALSE,FALSE,TRUE,4,359102,467982,467983,1,1,0,0,0,0
4451,69072,8993,103,FALSE,FALSE,TRUE,TRUE,TRUE,User,7420,4,FALSE,FALSE,TRUE,FALSE,FALSE,11,406204,467983,467399,1,0,1,0,0,0
517931,68925,55318,2473,TRUE,FALSE,TRUE,FALSE,FALSE,Organization,1863,5,FALSE,FALSE,FALSE,FALSE,TRUE,5,372967,467982,467983,1,0,0,1,0,0
3222,68807,7459,691,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,554,7,FALSE,FALSE,FALSE,FALSE,TRUE,34,389709,467983,467866,1,1,0,0,0,0
13004,68626,9347,44,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,9696,0,FALSE,FALSE,FALSE,FALSE,TRUE,10,401470,467980,467866,0,1,0,0,0,0
93406,68597,3544,15,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,4073,7,FALSE,FALSE,FALSE,FALSE,TRUE,8,418692,467983,467965,1,1,0,0,0,0
91172,67901,3317,817,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,1922,3,FALSE,TRUE,FALSE,FALSE,FALSE,4,411017,467983,467983,1,1,0,0,0,0
27854,67640,11478,104,FALSE,FALSE,TRUE,TRUE,FALSE,User,3126,9,FALSE,FALSE,FALSE,FALSE,TRUE,19,402974,467983,467964,0,0,0,1,0,0
167372,67356,38651,640,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,6320,4,FALSE,FALSE,FALSE,FALSE,TRUE,2,375181,467983,467971,1,0,0,1,0,0
3307,67174,7215,375,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,290,13,FALSE,FALSE,FALSE,FALSE,TRUE,13,353151,467983,467613,0,1,0,0,0,0
115087,67158,7192,643,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,461,7,FALSE,FALSE,FALSE,FALSE,TRUE,7,381373,467982,467983,1,0,0,1,0,0
1317690,67025,18366,11936,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,5036,8,FALSE,FALSE,TRUE,FALSE,FALSE,11,408627,467983,467983,1,0,0,0,1,0
3761,66939,6591,658,FALSE,FALSE,TRUE,TRUE,FALSE,User,8668,0,TRUE,FALSE,FALSE,FALSE,FALSE,15,384876,467983,467743,0,1,0,0,0,0
57974,66225,26830,37,TRUE,FALSE,TRUE,TRUE,FALSE,User,8216,16,FALSE,FALSE,FALSE,FALSE,TRUE,3,422999,467982,467933,1,0,0,1,0,0
247231,66041,4647,1709,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,1508,7,FALSE,FALSE,FALSE,FALSE,TRUE,6,386436,467982,467983,1,0,0,0,1,0
197968,65947,18685,4217,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,448,3,FALSE,FALSE,FALSE,FALSE,TRUE,14,377369,467983,467932,1,0,0,1,0,0
2870,65173,6250,5,FALSE,TRUE,TRUE,FALSE,TRUE,User,4062,12,FALSE,FALSE,FALSE,FALSE,TRUE,11,418928,467982,464401,1,0,0,0,0,1
165,65168,8525,24,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,1588,9,FALSE,FALSE,FALSE,FALSE,TRUE,12,405373,467982,467553,0,0,0,0,0,1
112732,64806,391,619,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,1893,5,TRUE,FALSE,FALSE,FALSE,FALSE,11,428397,467982,467980,0,0,0,0,0,1
614,64781,8403,357,TRUE,FALSE,TRUE,TRUE,FALSE,User,11949,4,FALSE,FALSE,FALSE,FALSE,TRUE,14,430865,467983,467577,0,1,0,0,0,0
1078266,63847,23114,4104,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,1806,3,FALSE,FALSE,FALSE,FALSE,TRUE,7,351564,467983,467983,1,0,0,0,1,0
21213,63794,16525,738,TRUE,TRUE,TRUE,TRUE,TRUE,User,11985,3,TRUE,FALSE,FALSE,FALSE,FALSE,4,363184,467980,467818,1,1,0,0,0,0
74938,63697,1726,514,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,1701,17,FALSE,FALSE,FALSE,TRUE,FALSE,12,434167,467983,467967,1,0,0,1,0,0
132741,63153,5525,318,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,184,20,FALSE,FALSE,FALSE,FALSE,TRUE,6,380968,467981,467968,0,0,0,0,0,1
59774,63073,8742,299,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,491,16,TRUE,FALSE,FALSE,FALSE,FALSE,44,369825,467981,467976,1,1,0,0,0,0
10210,63006,15664,1,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,782,7,FALSE,FALSE,TRUE,FALSE,FALSE,8,352929,467983,467890,1,0,0,0,0,1
990559,62790,10084,6496,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,10787,0,FALSE,FALSE,FALSE,FALSE,TRUE,4,401563,467983,467983,1,0,0,1,0,0
46896,61881,8947,122,TRUE,FALSE,TRUE,TRUE,FALSE,User,1303,0,FALSE,FALSE,FALSE,FALSE,TRUE,4,435457,467983,467975,0,0,0,0,1,0
1282783,61441,11462,9636,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,2799,8,FALSE,FALSE,FALSE,FALSE,TRUE,9,385791,467983,467983,1,1,0,0,0,0
9096,60909,10466,169,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,894,4,TRUE,FALSE,FALSE,FALSE,FALSE,7,346120,467980,467891,1,1,0,0,0,0
10485,60701,5850,136,TRUE,TRUE,TRUE,TRUE,FALSE,User,6165,10,TRUE,FALSE,FALSE,FALSE,FALSE,18,407989,467983,467959,1,0,0,0,0,1
42309,60645,11859,258,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,341,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,378766,467982,467925,1,1,0,0,0,0
450128,60570,23234,2780,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,4080,8,FALSE,FALSE,TRUE,FALSE,FALSE,12,383165,467983,467983,1,0,0,1,0,0
52003,60434,5052,279,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,544,7,FALSE,TRUE,FALSE,FALSE,FALSE,5,430911,467983,467966,1,1,0,0,0,0
411,59963,1408,63,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,31,0,TRUE,FALSE,FALSE,FALSE,FALSE,6,360276,467983,465677,1,0,1,0,0,0
131728,59939,22549,2398,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,746,0,FALSE,FALSE,FALSE,FALSE,TRUE,31,343797,467982,467983,1,0,0,0,0,1
24091,59826,12574,112,TRUE,FALSE,TRUE,TRUE,FALSE,User,4219,20,FALSE,FALSE,FALSE,FALSE,TRUE,9,413081,467982,467968,1,1,0,0,0,0
28292,59584,15403,47,FALSE,TRUE,TRUE,FALSE,TRUE,Organization,586,1,FALSE,TRUE,FALSE,FALSE,FALSE,6,398037,467982,467966,1,1,0,0,0,0
126287,59426,15015,888,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,358,8,FALSE,FALSE,FALSE,FALSE,TRUE,7,391405,467982,467968,1,0,0,0,1,0
330585,59395,18348,1000,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,1677,7,TRUE,FALSE,FALSE,FALSE,FALSE,5,368633,467982,464649,1,1,0,0,0,0
101744,59170,28118,466,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,3526,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,350759,467979,458269,1,1,0,0,0,0
2535,58900,14035,4,FALSE,TRUE,TRUE,FALSE,FALSE,User,3519,0,FALSE,FALSE,TRUE,FALSE,FALSE,11,390401,467982,467875,0,0,0,0,1,0
16027,58845,11420,322,TRUE,TRUE,TRUE,TRUE,FALSE,User,1380,0,TRUE,FALSE,FALSE,FALSE,FALSE,18,371353,467977,464966,1,1,0,0,0,0
35951,58394,19349,393,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,1096,6,FALSE,FALSE,TRUE,FALSE,FALSE,4,396527,467983,467983,1,0,0,1,0,0
17183,58263,10188,117,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,390,4,FALSE,TRUE,FALSE,FALSE,FALSE,5,352313,467981,467982,1,1,0,0,0,0
17016,58144,4857,514,TRUE,FALSE,TRUE,TRUE,TRUE,User,18973,20,FALSE,FALSE,TRUE,FALSE,FALSE,13,428959,467983,467977,1,1,0,0,0,0
3080,58024,17712,62,TRUE,FALSE,TRUE,TRUE,FALSE,User,1572,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,423059,467983,463353,0,0,1,0,0,0
221382,57705,4622,857,TRUE,TRUE,TRUE,TRUE,TRUE,Organization,366,7,TRUE,FALSE,FALSE,FALSE,FALSE,16,393022,467983,467981,1,1,0,0,0,0
32351,57476,20777,86,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,481,1,TRUE,FALSE,FALSE,FALSE,FALSE,3,344101,467981,467972,1,1,0,0,0,0
242968,57427,23362,979,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,1271,3,FALSE,FALSE,TRUE,FALSE,FALSE,48,369733,467981,467925,1,0,0,0,0,1
7585,57396,11791,327,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,10368,0,FALSE,FALSE,FALSE,FALSE,TRUE,6,466644,467983,467958,1,0,0,0,0,1
5056,57135,10888,8,FALSE,TRUE,TRUE,FALSE,TRUE,Organization,438,6,FALSE,FALSE,FALSE,FALSE,TRUE,19,369118,467983,467944,1,1,0,0,0,0
5,56808,4674,4336,TRUE,FALSE,TRUE,TRUE,FALSE,User,20662,0,FALSE,FALSE,FALSE,FALSE,TRUE,13,421654,467976,467920,0,0,0,1,0,0
289751,56738,6900,69,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,1660,13,FALSE,TRUE,FALSE,FALSE,FALSE,22,412843,467983,467981,1,1,0,0,0,0
13485,56537,16468,141,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,3092,3,FALSE,FALSE,FALSE,FALSE,TRUE,5,377262,467983,467204,0,0,0,0,1,0
33140,56407,5007,540,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,1469,5,FALSE,TRUE,FALSE,FALSE,FALSE,6,440955,467983,467983,1,1,0,0,0,0
47581,56380,6925,504,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,183,4,TRUE,FALSE,FALSE,FALSE,FALSE,10,370490,467983,467889,1,0,0,0,1,0
858,56111,7858,68,TRUE,FALSE,TRUE,TRUE,FALSE,User,2456,13,TRUE,FALSE,FALSE,FALSE,FALSE,8,426683,467980,467299,0,1,0,0,0,0
518,56010,7931,16,TRUE,FALSE,TRUE,TRUE,FALSE,User,3427,19,FALSE,FALSE,FALSE,FALSE,TRUE,8,410295,467983,467809,0,0,1,0,0,0
2471,55608,6718,3,FALSE,FALSE,TRUE,FALSE,FALSE,User,1946,10,FALSE,FALSE,FALSE,FALSE,TRUE,8,390915,467983,467744,0,0,1,0,0,0
782387,55422,10830,3598,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,2047,15,FALSE,TRUE,FALSE,FALSE,FALSE,26,385214,467983,467983,1,0,0,0,0,1
2102,55393,16637,272,FALSE,FALSE,TRUE,TRUE,TRUE,User,10310,6,TRUE,FALSE,FALSE,FALSE,FALSE,8,442856,467983,467962,1,1,0,0,0,0
1096,55334,7581,23,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,257,14,FALSE,FALSE,FALSE,FALSE,TRUE,15,402416,467982,467848,1,0,1,0,0,0
227307,55234,19472,2289,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,7189,9,FALSE,TRUE,FALSE,FALSE,FALSE,13,379153,467981,467815,1,0,0,1,0,0
2964,54822,6835,136,TRUE,FALSE,TRUE,TRUE,FALSE,User,1967,4,FALSE,FALSE,FALSE,FALSE,TRUE,14,387925,467980,463381,0,0,0,0,1,0
22577,54582,12229,7,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,438,7,TRUE,FALSE,FALSE,FALSE,FALSE,14,351209,467983,467587,1,1,0,0,0,0
1115068,54468,10538,129,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,832,7,TRUE,FALSE,FALSE,FALSE,FALSE,12,397844,467981,467982,1,1,0,0,0,0
3743,54445,7749,10,TRUE,FALSE,TRUE,TRUE,FALSE,User,9970,0,FALSE,FALSE,FALSE,FALSE,TRUE,11,433422,467983,467025,0,1,0,0,0,0
