branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
17,1,161.0,394019,69228,202.0,21.0,273,0.0,0.0,1.0,1,10,13,29,27,7,12,0.0,0.0,0,0,0,3,1,3,0,0,0,410988,5885,7,7307,598,0,65,829,144,0,1,421754,1,2,60,0,1,0,0,0,0,0,0,0,0,0,1
18,1,27.0,394012,1214,45.0,7.0,213,2.0,0.0,7.0,1,62,35,12,9,14,2,0.0,0.0,2,0,2,0,0,0,1,0,1,416626,4884,13,4884,584,0,20,896,47,0,1,421830,1,9,63,0,1,0,0,0,0,0,1,0,0,0,0
19,2,302.0,394027,3426,409.0,4.0,103,0.0,0.0,3.0,1,295,231,208,232,226,200,0.0,3.0,9,18,189,18,23,34,10,14,11,420184,981,2,981,149,3,29,1024,59,3,1,421903,1,3,17,0,0,0,0,1,0,0,0,0,0,0,1
20,1,112.0,394012,123,70.0,7.0,283,0.0,0.0,4.0,1,0,0,3,6,0,3,0.0,0.0,5,2,5,41,27,52,24,22,31,420165,23998,148,24004,3253,0,31,2366,116,0,1,421890,1,9,56,0,1,0,0,0,0,0,0,0,1,0,0
21,2,593.0,394027,1114,2400.0,84.0,156,7.0,4.0,10.0,1,538,248,38,6,137,2,0.0,6.0,16,64,23,74,193,115,0,0,0,421837,13396,18,13436,1849,14,70,2840,57,70,1,421905,1,12,107,1,0,0,0,0,1,0,0,0,0,0,0
22,4,1018.0,394016,96083,239.0,1.0,319,5.0,3.0,17.0,1,742,230,89,27,173,10,0.0,0.0,14,89,23,24,92,26,1,1,1,421827,7641,55,7641,1064,37,25,3671,254,37,1,421896,1,8,45,0,0,1,0,0,0,0,1,0,0,0,0
23,1,75.0,393993,126,134.0,40.0,26,0.0,5.0,10.0,0,44,20,11,4,10,2,0.0,4.0,1,3,2,23,23,38,1,3,1,419368,2640,8,2640,391,20,140,104,8,20,1,421608,1,4,59,0,0,1,0,0,0,0,0,0,0,1,0
24,2,15.0,393988,17,1219.0,46.0,24,42.0,191.0,32.0,1,1,2,9,10,1,7,0.0,1.0,1,3,1,3,2,3,4,0,8,414563,5773,5,5773,920,0,177,110,1,3,1,421891,1,13,80,0,1,0,0,0,1,0,0,0,0,0,0
25,6,142.0,394002,89,89.0,37.0,29,0.0,0.0,21.0,1,60,52,7,4,29,2,0.0,9.0,5,16,13,25,26,45,1,2,3,415631,6562,7,6562,831,0,70,111,3,39,1,421863,1,11,78,1,0,0,0,0,1,0,0,0,0,0,0
26,1,54.0,393994,482,771.0,2.0,20,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,3.0,0,0,0,1,0,1,0,0,0,415113,1880,3,2368,217,0,31,122,5,0,1,421562,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
27,1,8.0,393992,37,1140.0,4.0,105,2.0,2.0,37.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,405703,3529,32,3929,478,0,86,127,33,0,1,421683,1,7,45,0,0,1,0,0,0,0,1,0,0,0,0
28,1,174.0,394000,10548,12.0,1.0,34,0.0,0.0,0.0,0,68,52,3,7,50,7,0.0,0.0,0,0,0,0,0,0,0,0,0,412897,8136,4,8136,1118,0,3,136,22,0,1,421682,1,14,103,0,0,0,0,1,0,0,0,0,0,0,1
29,1,34.0,393987,26,27.0,1.0,35,0.0,0.0,0.0,1,5,6,0,3,3,3,0.0,0.0,3,5,4,6,1,6,3,5,6,414299,3867,25,3919,585,1,20,143,10,1,1,421796,1,15,120,0,1,0,0,0,0,0,0,0,0,0,1
30,6,28.0,393984,59,4.0,1.0,12,0.0,0.0,0.0,1,7,3,1,3,2,2,0.0,0.0,1,1,1,3,0,27,1,0,1,411231,2472,6,2472,310,0,12,146,3,0,1,420272,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,1,15.0,394002,66780,40.0,3.0,49,8.0,16.0,6.0,1,14,16,12,11,8,8,0.0,2.0,0,0,0,1,1,1,4,2,11,417663,2868,0,2868,405,0,21,169,14,4,1,421494,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
32,2,229.0,393989,3644,77.0,39.0,8,3.0,3.0,69.0,1,13,8,10,11,4,6,0.0,0.0,1,9,1,1,1,2,0,0,0,410190,3442,7,3442,510,0,325,188,11,4,1,420662,1,5,42,0,1,0,0,0,1,0,0,0,0,0,0
33,2,549.0,393988,1323,171.0,56.0,21,4.0,2.0,25.0,1,70,66,5,12,41,7,0.0,1.0,3,8,4,39,26,194,0,0,0,421785,27713,26,27713,3524,0,97,203,7,60,1,421534,1,10,56,1,0,0,0,0,1,0,0,0,0,0,0
34,2,39.0,393990,618,70.0,47.0,82,0.0,0.0,0.0,1,48,25,5,4,13,1,0.0,0.0,0,0,0,0,0,0,0,0,0,408196,5899,5,6403,764,0,19,208,32,0,1,421350,0,21,157,0,0,1,0,0,0,1,0,0,0,0,0
35,1,2.0,394002,676,17.0,0.0,36,0.0,0.0,1.0,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,1,0,2,394002,0,0,0,0,0,3,211,10,0,1,421883,1,12,64,0,1,0,0,0,1,0,0,0,0,0,0
36,1,99.0,394004,88,26.0,9.0,6,1.0,0.0,14.0,1,13,6,0,0,3,0,0.0,0.0,0,0,0,1,1,1,0,0,0,415745,11016,6,11044,1343,0,44,215,6,1,1,421685,1,9,65,1,0,0,0,0,0,0,0,0,0,0,1
37,1,2.0,393991,37,538.0,2.0,112,0.0,0.0,2.0,1,0,0,0,1,0,1,0.0,0.0,2,1,2,0,0,0,0,0,0,410581,978,0,978,161,0,9,221,14,0,1,421767,0,5,32,0,1,0,0,0,0,0,0,0,0,0,1
38,1,135.0,394000,148,313.0,72.0,10,2.0,24.0,111.0,1,0,0,0,0,0,0,0.0,2.0,1,1,1,7,3,14,0,0,0,409393,9627,28,9627,1331,0,183,234,13,25,1,420710,1,5,39,0,0,0,1,0,0,0,0,0,0,0,1
39,1,13.0,393984,25,9.0,0.0,18,0.0,0.0,0.0,1,7,8,0,0,4,0,0.0,0.0,1,3,4,0,0,0,0,0,0,409122,1151,1,1151,185,0,2,267,8,0,1,420522,0,7,32,1,0,0,0,0,1,0,0,0,0,0,0
40,1,10.0,393986,33413,96.0,17.0,64,0.0,1.0,4.0,1,2,2,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,402681,447,1,447,59,0,57,277,14,0,1,421696,1,18,87,0,1,0,0,0,0,0,0,0,0,0,1
41,5,18.0,393984,375,32.0,1.0,69,0.0,0.0,3.0,1,6,9,5,4,4,1,0.0,0.0,1,2,1,1,1,2,2,0,2,405432,873,6,873,117,0,36,293,15,0,1,421817,1,9,73,0,1,0,0,0,0,0,1,0,0,0,0
42,1,176.0,394001,4733,50.0,1.0,73,0.0,0.0,0.0,1,18,13,16,15,8,7,0.0,0.0,1,2,2,0,0,0,4,3,9,409235,3633,7,3633,587,0,5,310,41,0,1,421889,0,3,22,1,0,0,0,0,0,1,0,0,0,0,0
43,2,82.0,393984,108,12.0,14.0,20,0.0,0.0,6.0,1,5,2,3,2,1,1,0.0,0.0,3,1,22,10,5,11,0,0,0,419623,1892,3,1892,282,2,6,337,12,5,1,421174,0,6,38,0,1,0,0,0,0,0,0,0,0,0,1
44,1,66.0,393998,728,314.0,11.0,170,0.0,0.0,2.0,1,18,16,51,42,7,17,0.0,1.0,2,3,4,1,1,3,0,0,0,415660,4798,14,4832,770,0,158,340,51,0,1,421758,0,12,74,1,0,0,0,0,1,0,0,0,0,0,0
45,2,160.0,393992,12252,60.0,3.0,80,0.0,0.0,1.0,1,118,104,18,21,46,9,0.0,1.0,2,6,2,5,3,41,4,0,4,415521,4346,5,4346,647,3,15,380,25,5,1,421773,0,8,52,1,0,0,0,0,1,0,0,0,0,0,0
46,1,46.0,393988,286,2219.0,118.0,44,53.0,101.0,81.0,1,0,0,5,5,0,1,0.0,18.0,6,11,106,25,40,29,5,3,54,416245,796,3,796,123,0,214,451,14,2,1,421545,1,9,51,1,0,0,0,0,0,0,0,0,1,0,0
47,4,213.0,393990,412,62.0,190.0,126,1.0,7.0,69.0,1,118,97,38,46,46,22,0.0,0.0,6,14,20,6,15,9,2,0,3,410340,11682,18,11682,1860,0,152,453,33,15,1,421638,1,12,88,1,0,0,0,0,1,0,0,0,0,0,0
48,1,75.0,393987,54,27.0,1.0,121,0.0,0.0,0.0,1,72,43,0,3,16,3,0.0,0.0,9,21,26,18,34,37,4,0,5,419806,3868,25,3920,585,1,20,568,25,1,1,421901,1,15,120,0,1,0,0,0,0,0,0,0,0,0,1
49,6,401.0,393985,15199,47.0,24.0,184,0.0,0.0,1.0,1,291,249,63,58,97,19,0.0,1.0,17,84,36,86,184,182,2,0,6,421018,6262,11,6262,854,7,58,863,23,24,1,421906,0,17,108,1,0,0,0,0,1,0,0,0,0,0,0
50,1,151.0,393993,6590,1244.0,15.0,642,11.0,27.0,89.0,1,109,88,90,103,49,53,0.0,1.0,8,15,21,32,43,91,4,1,8,421240,6273,7,6273,854,9,17,3673,137,13,1,421840,1,5,36,0,0,1,0,0,0,0,1,0,0,0,0
51,1,66.0,393967,361,1917.0,5.0,57,0.0,0.0,2.0,1,1,2,1,2,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,399577,1050,9,1272,147,0,82,107,26,0,1,421691,1,13,142,0,1,0,0,0,0,0,0,0,0,0,1
52,19,349.0,393976,22674,27.0,8.0,23,0.0,0.0,0.0,1,219,130,49,39,58,20,0.0,0.0,1,0,5,6,2,13,0,0,0,417825,12566,6,12566,1923,4,46,110,23,4,1,421641,1,13,152,1,0,0,0,0,0,0,0,0,0,0,1
53,1,86.0,393982,22761,45.0,107.0,34,1.0,0.0,5.0,1,96,44,42,33,18,18,0.0,2.0,0,0,0,3,2,3,0,0,0,421367,0,0,0,0,1,64,113,18,2,1,421465,1,10,66,1,0,0,0,0,1,0,0,0,0,0,0
54,1,11.0,393982,3707,142.0,7.0,3,61.0,117.0,18.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,1,0,3,421003,7234,5,7245,1246,0,10,118,7,0,1,421671,1,11,59,0,1,0,0,0,0,0,0,1,0,0,0
55,1,2.0,393979,558,175.0,10.0,54,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,393982,724,1,724,130,0,45,121,13,0,1,421822,0,15,146,0,1,0,0,0,0,1,0,0,0,0,0
56,1,64.0,393983,51,20.0,1.0,12,0.0,0.0,0.0,1,14,8,1,2,4,1,0.0,0.0,2,4,6,9,8,15,2,0,2,420762,1585,1,1585,247,0,42,121,6,0,1,421837,0,8,60,0,0,1,0,0,0,0,0,0,0,0,1
57,1,2.0,393964,147964,15.0,17.0,71,0.0,0.0,4.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,4,418656,102,0,102,19,0,9,123,24,0,1,421887,0,5,34,0,1,0,0,0,0,0,0,0,0,0,1
58,2,73.0,393982,68,119.0,70.0,5,10.0,15.0,43.0,1,3,7,1,3,6,3,0.0,1.0,0,0,0,1,0,3,0,0,0,417974,7782,16,7782,1127,0,145,124,3,30,1,418440,1,41,244,1,0,0,0,0,0,0,0,0,1,0,0
59,1,61.0,393964,1038,25.0,55.0,6,0.0,0.0,2.0,1,10,6,1,2,3,1,0.0,2.0,0,0,0,1,3,2,0,0,0,414812,0,0,0,0,0,14,126,4,0,1,421417,1,8,58,0,0,0,1,0,0,0,0,0,0,0,1
60,2,32.0,393978,45,544.0,24.0,13,0.0,0.0,2.0,1,18,11,15,19,3,9,0.0,0.0,2,3,2,1,0,1,3,6,5,411177,0,0,0,0,0,54,127,13,0,1,421803,0,3,36,0,1,0,0,0,0,1,0,0,0,0,0
61,4,20.0,393970,1565,106.0,9.0,36,1.0,0.0,1.0,0,10,9,5,6,5,2,0.0,0.0,1,3,1,0,0,0,1,0,2,405116,5288,26,5290,770,3,10,148,14,4,1,420609,1,6,47,1,0,0,0,0,0,0,0,0,0,0,1
62,1,9.0,393974,555,134.0,39.0,36,0.0,0.0,1.0,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,406353,982,4,1988,78,0,12,151,10,0,1,421422,1,2,70,0,1,0,0,0,0,0,0,0,0,1,0
63,1,17.0,393976,500,246.0,132.0,29,6.0,7.0,26.0,1,2,2,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,0,0,421385,1610,1,1610,163,0,83,153,14,0,1,420906,1,12,75,1,0,0,0,0,0,0,0,0,0,0,1
64,11,178.0,393973,214,29.0,8.0,24,3.0,12.0,34.0,1,83,45,18,18,26,13,0.0,0.0,2,11,6,9,15,16,0,0,0,421643,6178,8,6178,1088,8,85,156,23,8,1,421896,1,7,44,0,0,0,0,1,0,0,0,0,0,0,1
65,2,35.0,393980,2756,167.0,77.0,38,19.0,23.0,58.0,1,0,0,1,1,0,1,0.0,2.0,0,0,0,11,12,42,1,0,7,419157,1814,4,1814,310,0,99,160,14,0,1,420990,1,9,55,0,1,0,0,0,0,0,1,0,0,0,0
66,4,126.0,393967,1129,27.0,17.0,6,2.0,7.0,59.0,0,20,18,0,5,10,4,0.0,4.0,0,0,0,3,2,11,0,0,0,421748,2272,5,2273,317,2,123,176,7,7,1,421895,1,6,30,0,0,0,0,1,0,0,0,0,0,0,1
67,1,4.0,393965,3812,378.0,41.0,43,0.0,0.0,0.0,1,0,0,3,10,0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,398743,7826,24,9882,782,1,60,184,28,1,1,421806,1,8,64,1,0,0,0,0,0,0,0,0,0,0,1
68,2,55.0,393966,786,28.0,6.0,100,0.0,0.0,0.0,1,16,4,17,12,2,6,0.0,0.0,0,0,0,1,0,1,0,0,0,414776,3321,0,4639,282,0,18,194,27,0,1,421690,0,20,122,0,0,1,0,0,0,0,1,0,0,0,0
69,2,367.0,393973,7780,474.0,1.0,36,11.0,26.0,39.0,1,97,85,49,51,36,28,0.0,6.0,9,18,25,133,113,218,5,2,8,421900,869,3,869,134,0,127,204,11,0,1,421886,1,7,45,0,1,0,0,0,0,0,0,0,0,0,1
70,1,5.0,393961,443,6.0,0.0,55,0.0,0.0,0.0,1,0,0,5,10,0,8,0.0,0.0,0,0,0,0,0,0,5,5,11,414561,2786,1,2786,314,0,2,215,15,0,1,421599,0,6,43,1,0,0,0,0,0,0,0,1,0,0,0
71,1,42.0,393974,20,76.0,10.0,37,4.0,30.0,13.0,1,32,26,16,12,11,4,0.0,0.0,1,2,1,4,8,5,0,0,0,416008,0,0,0,0,0,59,216,9,0,1,421640,1,6,52,0,0,0,0,1,0,1,0,0,0,0,0
72,2,350.0,393970,171052,19.0,16.0,35,4.0,0.0,4.0,1,215,208,250,189,191,94,0.0,1.0,1,7,4,11,11,63,0,0,0,421246,2747,6,2747,407,4,12,233,25,4,1,421851,1,9,60,1,0,0,0,0,1,0,0,0,0,0,0
73,1,41.0,393965,1172,20.0,0.0,137,0.0,0.0,0.0,1,0,0,18,20,0,12,0.0,0.0,0,0,0,0,0,0,0,0,0,395449,124,1,124,18,0,3,248,19,0,1,421798,0,4,22,0,1,0,0,0,0,0,1,0,0,0,0
74,7,680.0,393969,2759,72.0,1.0,47,1.0,0.0,16.0,1,308,235,160,180,191,84,0.0,4.0,32,53,227,117,125,239,7,22,10,419933,23875,22,23875,3490,0,290,274,14,73,1,421521,0,6,37,0,0,0,0,1,0,0,0,0,0,0,1
75,1,43.0,393960,94,146.0,3.0,127,1.0,3.0,21.0,1,26,13,17,17,5,11,0.0,1.0,1,0,1,6,11,10,0,0,0,410915,9877,2,9879,1406,0,59,304,39,0,1,421484,0,6,41,0,0,0,0,1,0,1,0,0,0,0,0
76,1,30.0,393978,793,42.0,0.0,34,0.0,0.0,0.0,1,6,8,1,2,4,1,0.0,0.0,0,0,0,2,5,4,0,0,0,397024,5797,1,5797,708,0,14,317,20,3,1,419495,0,6,30,1,0,0,0,0,0,0,0,1,0,0,0
77,4,271.0,393966,7697,132.0,4.0,59,6.0,32.0,42.0,1,92,51,4,7,33,6,0.0,0.0,0,0,0,16,17,56,0,0,0,420586,3461,21,3461,534,8,191,324,55,13,1,421781,0,12,79,1,0,0,0,0,0,0,0,0,0,0,1
78,3,181.0,393974,2135,86.0,59.0,45,2.0,1.0,16.0,1,86,74,62,35,43,14,0.0,7.0,2,3,2,20,19,41,0,0,0,418621,9826,65,9826,1360,26,94,355,20,26,1,420231,0,5,44,1,0,0,0,0,1,0,0,0,0,0,0
79,3,298.0,393968,469,90.0,49.0,55,14.0,25.0,128.0,1,293,155,63,40,62,18,0.0,3.0,7,14,9,61,198,121,2,14,7,421534,5587,27,5591,804,4,164,382,12,40,1,421896,1,12,93,0,1,0,0,0,0,0,0,0,0,0,1
80,2,3370.0,393974,44561,61.0,0.0,137,0.0,0.0,0.0,1,75,51,8,8,22,5,0.0,0.0,7,15,41,4,11,4,2,0,24,421811,6990,9,6990,1077,0,2,404,89,6,1,421821,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1
81,1,132.0,393961,123,145.0,25.0,63,9.0,10.0,15.0,1,38,31,36,33,15,15,0.0,4.0,16,22,23,24,64,57,1,0,1,421060,8538,11,8539,1214,0,208,409,6,25,1,421855,1,5,42,0,1,0,0,0,1,0,0,0,0,0,0
82,2,193.0,393965,459,62.0,47.0,107,3.0,1.0,27.0,1,7,8,28,31,4,15,0.0,0.0,1,0,1,37,24,87,0,0,0,420143,4602,12,4604,776,0,48,453,46,0,1,421870,1,5,25,0,0,0,1,0,0,0,0,0,0,0,1
83,5,82.0,393970,842,276.0,109.0,98,0.0,0.0,2.0,1,5,8,8,20,5,14,0.0,0.0,1,1,1,8,14,18,7,1,14,420449,3232,10,3232,358,0,21,500,15,8,1,421832,1,11,67,1,0,0,0,0,0,0,0,0,0,0,1
84,2,36.0,393972,1631,39.0,20.0,125,0.0,0.0,1.0,1,57,45,29,36,20,20,0.0,0.0,0,0,0,2,1,2,0,0,0,420708,3574,0,3844,329,0,17,561,26,4,1,421825,0,12,96,1,0,0,0,0,0,0,0,1,0,0,0
85,5,572.0,393964,1612,35.0,11.0,58,0.0,0.0,0.0,1,43,44,22,17,16,7,0.0,0.0,6,2,22,13,1,52,0,0,0,421350,3449,18,3449,505,2,8,627,28,2,1,421906,0,9,47,0,0,1,0,0,0,0,0,0,0,0,1
86,1,57.0,393976,3688,430.0,80.0,227,0.0,0.0,4.0,1,17,29,0,0,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,416932,1012,10,1066,117,5,25,649,40,5,1,421766,1,1,27,0,1,0,0,0,0,0,0,1,0,0,0
87,1,9.0,393972,296,134.0,0.0,303,0.0,0.0,0.0,1,7,4,46,49,3,23,0.0,0.0,0,0,0,0,0,0,3,0,5,411448,508,1,736,44,0,14,846,46,0,1,421808,0,2,39,0,1,0,0,0,0,1,0,0,0,0,0
88,4,506.0,393964,639,236.0,394.0,108,4.0,37.0,21.0,0,364,271,87,114,249,40,0.0,6.0,12,17,26,69,110,121,1,0,3,418013,25690,57,25806,3631,26,79,1043,69,31,1,421809,1,9,64,0,0,0,0,1,0,0,0,0,0,0,1
89,4,119.0,393982,10574,97.0,0.0,101,0.0,2.0,4.0,1,47,36,4,11,17,6,0.0,0.0,1,0,2,34,15,65,1,1,1,415145,1006,8,1006,142,0,17,1284,25,13,1,421684,1,11,52,1,0,0,0,0,0,0,0,1,0,0,0
90,2,99.0,393966,112995,175.0,2.0,284,2.0,6.0,13.0,1,174,118,142,111,48,37,0.0,0.0,1,0,5,14,9,14,1,0,1,414575,6341,12,6341,1018,0,72,1746,100,0,1,421896,1,28,192,0,0,0,1,0,0,0,0,0,0,0,1
91,3,48.0,393963,207,295.0,9.0,477,0.0,0.0,6.0,1,58,68,95,144,35,73,0.0,0.0,6,6,39,6,6,6,3,6,9,414674,7059,12,7065,791,7,45,2563,111,7,1,421669,1,3,22,0,1,0,0,0,0,0,1,0,0,0,0
92,1,940.0,393968,773,6077.0,1.0,235,3.0,6.0,4.0,1,265,190,241,110,38,20,0.0,1.0,18,36,26,84,44,128,3,28,27,421856,1872,4,1872,292,0,9,4143,416,19,1,421896,0,6,46,1,0,0,0,0,0,0,0,0,0,0,1
93,3,934.0,393981,2693,145.0,26.0,276,1.0,9.0,4.0,0,331,239,85,78,220,33,0.0,2.0,31,100,130,105,110,727,2,0,23,421668,0,0,0,0,63,39,4612,99,63,1,421890,1,13,89,1,0,0,0,0,0,0,0,0,0,0,1
94,1,59.0,393958,154,1694.0,1.0,14,0.0,5.0,3.0,1,24,16,0,0,8,0,0.0,0.0,0,0,0,5,7,6,0,0,0,420023,2238,4,2238,274,0,50,104,2,0,1,419033,1,6,39,0,0,1,0,0,0,0,1,0,0,0,0
95,3,143.0,393952,2791,191.0,448.0,78,6.0,16.0,61.0,1,6,7,18,17,4,9,0.0,4.0,8,12,31,50,50,62,0,0,0,421838,6400,8,6400,874,0,308,105,6,0,1,421865,1,9,49,0,1,0,0,0,1,0,0,0,0,0,0
96,8,504.0,393950,1109,46.0,2.0,77,3.0,8.0,3.0,1,474,162,119,65,70,29,0.0,0.0,12,33,41,1,1,1,0,0,0,421275,2935,10,2935,426,8,31,130,18,8,1,421426,0,16,87,1,0,0,0,0,0,0,0,0,0,1,0
97,2,30.0,393938,1056,7.0,2.0,74,0.0,6.0,2.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,403232,1153,8,1287,154,0,21,134,11,0,1,421495,1,1,27,0,1,0,0,0,0,0,0,1,0,0,0
98,1,25.0,393936,17,105.0,32.0,7,1.0,1.0,11.0,1,15,10,0,0,5,0,0.0,2.0,0,0,0,7,9,16,0,0,0,414152,2908,2,2908,399,0,118,137,7,0,1,421731,1,9,66,1,0,0,0,0,0,0,0,0,0,0,1
99,2,739.0,393953,5985,1934.0,10.0,9,4.0,8.0,16.0,0,11,8,24,28,4,15,0.0,0.0,2,2,3,2,2,2,0,0,0,410804,437,3,437,69,22,101,138,27,23,1,421154,1,9,76,1,0,0,0,0,1,0,0,0,0,0,0
